id,Dublin Core:Identifier,Dublin Core:Type,Dublin Core:Title,Dublin Core:Description,Dublin Core:Date,Dublin Core:Temporal Coverage,Dublin Core:Extent,Dublin Core:Relation,Scripto:Status,tags,recordType,collection,file
218,umd:164494;http://hdl.handle.net/1903.1/19090,Drawing. Design. Illustration,"Plat of Molly's Dislike, 1811","Copy of plat signed by John Brewer August 3, 1811. Original plat made in 1775 for William Baker for 553 acres called Molly's Dislike.",1811-08-3,1801-1900,2 pages,Historical Manuscripts,To transcribe,Hepburn family--Archives;Real property--Maryland--Prince George's County,Item,Hepburn Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:165262/image;http://fedora.lib.umd.edu/fedora/get/umd:165260/image
219,umd:164498;http://hdl.handle.net/1903.1/19093,Prose,"Copy of 1720 deed for Calverton Manor (Oatry), 1812","Copy of deed signed by John Brewer July 27, 1812. Original deed is a 1720 conveyance to Caleb (Lotton?) of Prince George's County of 405 acres called Oatry, now to be called Calverton Manor.",1812-07-27,1801-1900,4 pages,Historical Manuscripts,To transcribe,Hepburn family--Archives;Real property--Maryland--Prince George's County;Deeds;Plats,Item,Hepburn Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:165264/image;http://fedora.lib.umd.edu/fedora/get/umd:165263/image;http://fedora.lib.umd.edu/fedora/get/umd:165267/image;http://fedora.lib.umd.edu/fedora/get/umd:165265/image
220,umd:164514;http://hdl.handle.net/1903.1/19107,Prose,"Public notice for smallpox vaccination in Baltimore, 1813","Public notice for the State of Maryland advocating smallpox vaccination in Baltimore, March 24, 1813. Names include James Smith, Agent for Vaccination, Baltimore, and B. Edes, printer, Baltimore.",1813-03-24,1801-1900,2 pages,Historical Manuscripts,To transcribe,Hepburn family -- Archives;Smallpox -- Vaccination -- Maryland -- Baltimore,Item,Hepburn Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:165269/image;http://fedora.lib.umd.edu/fedora/get/umd:165268/image
221,umd:164591;http://hdl.handle.net/1903.1/19147,Letters,"To McNeal children from Madge Preston, 1882-1894","Thirteen letters from Madge Preston to the McNeal children, between 1882-1894.",,1801-1900,71 pages,Historical Manuscripts,To transcribe,,Item,Preston Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:164592/image;http://fedora.lib.umd.edu/fedora/get/umd:164607/image;http://fedora.lib.umd.edu/fedora/get/umd:164650/image;http://fedora.lib.umd.edu/fedora/get/umd:164801/image;http://fedora.lib.umd.edu/fedora/get/umd:164602/image;http://fedora.lib.umd.edu/fedora/get/umd:164799/image;http://fedora.lib.umd.edu/fedora/get/umd:164793/image;http://fedora.lib.umd.edu/fedora/get/umd:164600/image;http://fedora.lib.umd.edu/fedora/get/umd:164599/image;http://fedora.lib.umd.edu/fedora/get/umd:164787/image;http://fedora.lib.umd.edu/fedora/get/umd:164669/image;http://fedora.lib.umd.edu/fedora/get/umd:164646/image;http://fedora.lib.umd.edu/fedora/get/umd:164610/image;http://fedora.lib.umd.edu/fedora/get/umd:164664/image;http://fedora.lib.umd.edu/fedora/get/umd:164683/image;http://fedora.lib.umd.edu/fedora/get/umd:164655/image;http://fedora.lib.umd.edu/fedora/get/umd:164688/image;http://fedora.lib.umd.edu/fedora/get/umd:164694/image;http://fedora.lib.umd.edu/fedora/get/umd:164657/image;http://fedora.lib.umd.edu/fedora/get/umd:164698/image;http://fedora.lib.umd.edu/fedora/get/umd:164701/image;http://fedora.lib.umd.edu/fedora/get/umd:164695/image;http://fedora.lib.umd.edu/fedora/get/umd:164649/image;http://fedora.lib.umd.edu/fedora/get/umd:164598/image;http://fedora.lib.umd.edu/fedora/get/umd:164691/image;http://fedora.lib.umd.edu/fedora/get/umd:164648/image;http://fedora.lib.umd.edu/fedora/get/umd:164651/image;http://fedora.lib.umd.edu/fedora/get/umd:164792/image;http://fedora.lib.umd.edu/fedora/get/umd:164794/image;http://fedora.lib.umd.edu/fedora/get/umd:164697/image;http://fedora.lib.umd.edu/fedora/get/umd:164685/image;http://fedora.lib.umd.edu/fedora/get/umd:164692/image;http://fedora.lib.umd.edu/fedora/get/umd:164680/image;http://fedora.lib.umd.edu/fedora/get/umd:164797/image;http://fedora.lib.umd.edu/fedora/get/umd:164700/image;http://fedora.lib.umd.edu/fedora/get/umd:164609/image;http://fedora.lib.umd.edu/fedora/get/umd:164693/image;http://fedora.lib.umd.edu/fedora/get/umd:164654/image;http://fedora.lib.umd.edu/fedora/get/umd:164696/image;http://fedora.lib.umd.edu/fedora/get/umd:164653/image;http://fedora.lib.umd.edu/fedora/get/umd:164643/image;http://fedora.lib.umd.edu/fedora/get/umd:164661/image;http://fedora.lib.umd.edu/fedora/get/umd:164603/image;http://fedora.lib.umd.edu/fedora/get/umd:164595/image;http://fedora.lib.umd.edu/fedora/get/umd:164796/image;http://fedora.lib.umd.edu/fedora/get/umd:164601/image;http://fedora.lib.umd.edu/fedora/get/umd:164652/image;http://fedora.lib.umd.edu/fedora/get/umd:164605/image;http://fedora.lib.umd.edu/fedora/get/umd:164798/image;http://fedora.lib.umd.edu/fedora/get/umd:164658/image;http://fedora.lib.umd.edu/fedora/get/umd:164608/image;http://fedora.lib.umd.edu/fedora/get/umd:164662/image;http://fedora.lib.umd.edu/fedora/get/umd:164670/image;http://fedora.lib.umd.edu/fedora/get/umd:164644/image;http://fedora.lib.umd.edu/fedora/get/umd:164689/image;http://fedora.lib.umd.edu/fedora/get/umd:164686/image;http://fedora.lib.umd.edu/fedora/get/umd:164596/image;http://fedora.lib.umd.edu/fedora/get/umd:164606/image;http://fedora.lib.umd.edu/fedora/get/umd:164660/image;http://fedora.lib.umd.edu/fedora/get/umd:164611/image;http://fedora.lib.umd.edu/fedora/get/umd:164805/image;http://fedora.lib.umd.edu/fedora/get/umd:164645/image;http://fedora.lib.umd.edu/fedora/get/umd:164684/image;http://fedora.lib.umd.edu/fedora/get/umd:164682/image;http://fedora.lib.umd.edu/fedora/get/umd:164690/image;http://fedora.lib.umd.edu/fedora/get/umd:164687/image;http://fedora.lib.umd.edu/fedora/get/umd:164699/image;http://fedora.lib.umd.edu/fedora/get/umd:164681/image;http://fedora.lib.umd.edu/fedora/get/umd:164807/image;http://fedora.lib.umd.edu/fedora/get/umd:164647/image;http://fedora.lib.umd.edu/fedora/get/umd:164788/image
222,umd:164702;http://hdl.handle.net/1903.1/19180,Letters,"To May Preston McNeal from Madge Preston, January 1884 - March 1884","Eighteen letters that Madge Preston wrote to May Preston McNeal between January 3rd, 1884 and March 31st of 1884.",1884-01-3;1884-03-31,1801-1900,160 pages,Historical Manuscripts,To transcribe,Families;Weather;Health,Item,Preston Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:164703/image;http://fedora.lib.umd.edu/fedora/get/umd:164995/image;http://fedora.lib.umd.edu/fedora/get/umd:164716/image;http://fedora.lib.umd.edu/fedora/get/umd:164710/image;http://fedora.lib.umd.edu/fedora/get/umd:164991/image;http://fedora.lib.umd.edu/fedora/get/umd:164860/image;http://fedora.lib.umd.edu/fedora/get/umd:164962/image;http://fedora.lib.umd.edu/fedora/get/umd:164900/image;http://fedora.lib.umd.edu/fedora/get/umd:164707/image;http://fedora.lib.umd.edu/fedora/get/umd:164946/image;http://fedora.lib.umd.edu/fedora/get/umd:164972/image;http://fedora.lib.umd.edu/fedora/get/umd:164859/image;http://fedora.lib.umd.edu/fedora/get/umd:164740/image;http://fedora.lib.umd.edu/fedora/get/umd:164724/image;http://fedora.lib.umd.edu/fedora/get/umd:164904/image;http://fedora.lib.umd.edu/fedora/get/umd:164719/image;http://fedora.lib.umd.edu/fedora/get/umd:164739/image;http://fedora.lib.umd.edu/fedora/get/umd:164958/image;http://fedora.lib.umd.edu/fedora/get/umd:164999/image;http://fedora.lib.umd.edu/fedora/get/umd:164898/image;http://fedora.lib.umd.edu/fedora/get/umd:164910/image;http://fedora.lib.umd.edu/fedora/get/umd:165000/image;http://fedora.lib.umd.edu/fedora/get/umd:164862/image;http://fedora.lib.umd.edu/fedora/get/umd:164899/image;http://fedora.lib.umd.edu/fedora/get/umd:164757/image;http://fedora.lib.umd.edu/fedora/get/umd:164990/image;http://fedora.lib.umd.edu/fedora/get/umd:164727/image;http://fedora.lib.umd.edu/fedora/get/umd:164706/image;http://fedora.lib.umd.edu/fedora/get/umd:164963/image;http://fedora.lib.umd.edu/fedora/get/umd:164913/image;http://fedora.lib.umd.edu/fedora/get/umd:164882/image;http://fedora.lib.umd.edu/fedora/get/umd:164947/image;http://fedora.lib.umd.edu/fedora/get/umd:164942/image;http://fedora.lib.umd.edu/fedora/get/umd:164760/image;http://fedora.lib.umd.edu/fedora/get/umd:164901/image;http://fedora.lib.umd.edu/fedora/get/umd:164861/image;http://fedora.lib.umd.edu/fedora/get/umd:164747/image;http://fedora.lib.umd.edu/fedora/get/umd:164986/image;http://fedora.lib.umd.edu/fedora/get/umd:164742/image;http://fedora.lib.umd.edu/fedora/get/umd:164974/image;http://fedora.lib.umd.edu/fedora/get/umd:164908/image;http://fedora.lib.umd.edu/fedora/get/umd:164732/image;http://fedora.lib.umd.edu/fedora/get/umd:164865/image;http://fedora.lib.umd.edu/fedora/get/umd:164731/image;http://fedora.lib.umd.edu/fedora/get/umd:164950/image;http://fedora.lib.umd.edu/fedora/get/umd:164954/image;http://fedora.lib.umd.edu/fedora/get/umd:164909/image;http://fedora.lib.umd.edu/fedora/get/umd:164979/image;http://fedora.lib.umd.edu/fedora/get/umd:164704/image;http://fedora.lib.umd.edu/fedora/get/umd:164864/image;http://fedora.lib.umd.edu/fedora/get/umd:164730/image;http://fedora.lib.umd.edu/fedora/get/umd:164714/image;http://fedora.lib.umd.edu/fedora/get/umd:165004/image;http://fedora.lib.umd.edu/fedora/get/umd:164717/image;http://fedora.lib.umd.edu/fedora/get/umd:165005/image;http://fedora.lib.umd.edu/fedora/get/umd:164738/image;http://fedora.lib.umd.edu/fedora/get/umd:164741/image;http://fedora.lib.umd.edu/fedora/get/umd:164897/image;http://fedora.lib.umd.edu/fedora/get/umd:164889/image;http://fedora.lib.umd.edu/fedora/get/umd:164866/image;http://fedora.lib.umd.edu/fedora/get/umd:164748/image;http://fedora.lib.umd.edu/fedora/get/umd:164756/image;http://fedora.lib.umd.edu/fedora/get/umd:164715/image;http://fedora.lib.umd.edu/fedora/get/umd:164959/image;http://fedora.lib.umd.edu/fedora/get/umd:238387/image;http://fedora.lib.umd.edu/fedora/get/umd:165002/image;http://fedora.lib.umd.edu/fedora/get/umd:164869/image;http://fedora.lib.umd.edu/fedora/get/umd:164729/image;http://fedora.lib.umd.edu/fedora/get/umd:164912/image;http://fedora.lib.umd.edu/fedora/get/umd:164888/image;http://fedora.lib.umd.edu/fedora/get/umd:164744/image;http://fedora.lib.umd.edu/fedora/get/umd:164884/image;http://fedora.lib.umd.edu/fedora/get/umd:164755/image;http://fedora.lib.umd.edu/fedora/get/umd:164761/image;http://fedora.lib.umd.edu/fedora/get/umd:164743/image;http://fedora.lib.umd.edu/fedora/get/umd:164879/image;http://fedora.lib.umd.edu/fedora/get/umd:164987/image;http://fedora.lib.umd.edu/fedora/get/umd:164892/image;http://fedora.lib.umd.edu/fedora/get/umd:164983/image;http://fedora.lib.umd.edu/fedora/get/umd:164872/image;http://fedora.lib.umd.edu/fedora/get/umd:164874/image;http://fedora.lib.umd.edu/fedora/get/umd:164868/image;http://fedora.lib.umd.edu/fedora/get/umd:164993/image;http://fedora.lib.umd.edu/fedora/get/umd:164896/image;http://fedora.lib.umd.edu/fedora/get/umd:164957/image;http://fedora.lib.umd.edu/fedora/get/umd:164877/image;http://fedora.lib.umd.edu/fedora/get/umd:164708/image;http://fedora.lib.umd.edu/fedora/get/umd:164902/image;http://fedora.lib.umd.edu/fedora/get/umd:164940/image;http://fedora.lib.umd.edu/fedora/get/umd:164949/image;http://fedora.lib.umd.edu/fedora/get/umd:164941/image;http://fedora.lib.umd.edu/fedora/get/umd:164906/image;http://fedora.lib.umd.edu/fedora/get/umd:164762/image;http://fedora.lib.umd.edu/fedora/get/umd:164890/image;http://fedora.lib.umd.edu/fedora/get/umd:164980/image;http://fedora.lib.umd.edu/fedora/get/umd:164863/image;http://fedora.lib.umd.edu/fedora/get/umd:164943/image;http://fedora.lib.umd.edu/fedora/get/umd:164745/image;http://fedora.lib.umd.edu/fedora/get/umd:164894/image;http://fedora.lib.umd.edu/fedora/get/umd:164944/image;http://fedora.lib.umd.edu/fedora/get/umd:164733/image;http://fedora.lib.umd.edu/fedora/get/umd:164955/image;http://fedora.lib.umd.edu/fedora/get/umd:164750/image;http://fedora.lib.umd.edu/fedora/get/umd:164996/image;http://fedora.lib.umd.edu/fedora/get/umd:165001/image;http://fedora.lib.umd.edu/fedora/get/umd:164875/image;http://fedora.lib.umd.edu/fedora/get/umd:164976/image;http://fedora.lib.umd.edu/fedora/get/umd:164734/image;http://fedora.lib.umd.edu/fedora/get/umd:164905/image;http://fedora.lib.umd.edu/fedora/get/umd:164887/image;http://fedora.lib.umd.edu/fedora/get/umd:164964/image;http://fedora.lib.umd.edu/fedora/get/umd:164876/image;http://fedora.lib.umd.edu/fedora/get/umd:164960/image;http://fedora.lib.umd.edu/fedora/get/umd:164886/image;http://fedora.lib.umd.edu/fedora/get/umd:164726/image;http://fedora.lib.umd.edu/fedora/get/umd:164994/image;http://fedora.lib.umd.edu/fedora/get/umd:164948/image;http://fedora.lib.umd.edu/fedora/get/umd:164911/image;http://fedora.lib.umd.edu/fedora/get/umd:164880/image;http://fedora.lib.umd.edu/fedora/get/umd:164871/image;http://fedora.lib.umd.edu/fedora/get/umd:164893/image;http://fedora.lib.umd.edu/fedora/get/umd:164885/image;http://fedora.lib.umd.edu/fedora/get/umd:164916/image;http://fedora.lib.umd.edu/fedora/get/umd:164870/image;http://fedora.lib.umd.edu/fedora/get/umd:164867/image;http://fedora.lib.umd.edu/fedora/get/umd:164759/image;http://fedora.lib.umd.edu/fedora/get/umd:164881/image;http://fedora.lib.umd.edu/fedora/get/umd:164754/image;http://fedora.lib.umd.edu/fedora/get/umd:165003/image;http://fedora.lib.umd.edu/fedora/get/umd:164973/image;http://fedora.lib.umd.edu/fedora/get/umd:164718/image;http://fedora.lib.umd.edu/fedora/get/umd:164951/image;http://fedora.lib.umd.edu/fedora/get/umd:164728/image;http://fedora.lib.umd.edu/fedora/get/umd:164895/image;http://fedora.lib.umd.edu/fedora/get/umd:164721/image;http://fedora.lib.umd.edu/fedora/get/umd:164737/image;http://fedora.lib.umd.edu/fedora/get/umd:164713/image;http://fedora.lib.umd.edu/fedora/get/umd:165006/image;http://fedora.lib.umd.edu/fedora/get/umd:164709/image;http://fedora.lib.umd.edu/fedora/get/umd:164873/image;http://fedora.lib.umd.edu/fedora/get/umd:164758/image;http://fedora.lib.umd.edu/fedora/get/umd:164961/image;http://fedora.lib.umd.edu/fedora/get/umd:164763/image;http://fedora.lib.umd.edu/fedora/get/umd:164753/image;http://fedora.lib.umd.edu/fedora/get/umd:164891/image;http://fedora.lib.umd.edu/fedora/get/umd:164903/image;http://fedora.lib.umd.edu/fedora/get/umd:164722/image;http://fedora.lib.umd.edu/fedora/get/umd:164751/image;http://fedora.lib.umd.edu/fedora/get/umd:164705/image;http://fedora.lib.umd.edu/fedora/get/umd:164736/image;http://fedora.lib.umd.edu/fedora/get/umd:164720/image;http://fedora.lib.umd.edu/fedora/get/umd:164723/image;http://fedora.lib.umd.edu/fedora/get/umd:164725/image;http://fedora.lib.umd.edu/fedora/get/umd:164746/image;http://fedora.lib.umd.edu/fedora/get/umd:164883/image;http://fedora.lib.umd.edu/fedora/get/umd:164752/image;http://fedora.lib.umd.edu/fedora/get/umd:164749/image;http://fedora.lib.umd.edu/fedora/get/umd:164735/image;http://fedora.lib.umd.edu/fedora/get/umd:164915/image;http://fedora.lib.umd.edu/fedora/get/umd:164907/image
223,umd:164813;http://hdl.handle.net/1903.1/19202,Letters,"To Joshua Vansant McNeal from Brother Daliances [?], February 5, 1916","One letter to Joshua Vansant McNeal from Brother Daliances [?], February 5, 1916.",1916-02-5,1901-2000,2 pages,Historical Manuscripts,To transcribe,,Item,Preston Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:164820/image;http://fedora.lib.umd.edu/fedora/get/umd:164825/image
224,umd:164927;http://hdl.handle.net/1903.1/19230,Diaries,"Diary -- Preston, William P., 1830, 1859","William P. Preston's diary for the dates of January and February 1830 and January 1 to January 3, 1859.",1830-01;1830-02,1801-1900,12 pages,Historical Manuscripts,To transcribe,,Item,Preston Family papers,http://fedora.lib.umd.edu/fedora/get/umd:164929/image;http://fedora.lib.umd.edu/fedora/get/umd:164928/image;http://fedora.lib.umd.edu/fedora/get/umd:164935/image;http://fedora.lib.umd.edu/fedora/get/umd:164931/image;http://fedora.lib.umd.edu/fedora/get/umd:164939/image;http://fedora.lib.umd.edu/fedora/get/umd:164936/image;http://fedora.lib.umd.edu/fedora/get/umd:164937/image;http://fedora.lib.umd.edu/fedora/get/umd:164934/image;http://fedora.lib.umd.edu/fedora/get/umd:164932/image;http://fedora.lib.umd.edu/fedora/get/umd:164930/image;http://fedora.lib.umd.edu/fedora/get/umd:164933/image;http://fedora.lib.umd.edu/fedora/get/umd:164938/image
225,umd:164952;http://hdl.handle.net/1903.1/19232,Letters,"To Joshua Vansant McNeal from Brother Dacianus, February 5, 1916","One letter to Joshua Vansant McNeal from Brother Dacianus (Antoine Guillot), headmaster of St. Ann's Academy, concerning Joseph Hoshino's placement at the school, February 5, 1916.",1916-02-5,1901-2000,2 pages,Historical Manuscripts,To transcribe,,Item,Preston Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:164953/image;http://fedora.lib.umd.edu/fedora/get/umd:164956/image
226,umd:165009;http://hdl.handle.net/1903.1/19244,Prose,"Writings -- Brent, R. B., August 8, year unknown","Writings of R. B. Brent, dated August 8, unknown year.",,1801-1900,1 pages,Historical Manuscripts,To transcribe,,Item,Preston Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:165010/image
227,umd:165011;http://hdl.handle.net/1903.1/19245,Prose,"Writings -- McNeal, May [Preston], 1867, 1905, and undated","Three writings by May McNeal Preston, one undated, one from 1905, and the poem, ""Farewell to St. Joseph's"" from 1867.",1867;1905,1801-1900;1901-2000,7 pages,Historical Manuscripts,To transcribe,,Item,Preston Family Papers,http://fedora.lib.umd.edu/fedora/get/umd:165012/image;http://fedora.lib.umd.edu/fedora/get/umd:165015/image;http://fedora.lib.umd.edu/fedora/get/umd:165013/image;http://fedora.lib.umd.edu/fedora/get/umd:165014/image;http://fedora.lib.umd.edu/fedora/get/umd:165016/image;http://fedora.lib.umd.edu/fedora/get/umd:165017/image;http://fedora.lib.umd.edu/fedora/get/umd:165018/image
